index,station,price,number,address,coordinates,card_link,station_link,city,municipality,county,cords,date,diesel
483,Shell Myrene,0,46898115,"Myreneveien 6, 4847 Arendal","58.45997899757679, 8.766940497576792",,,,,,,2022-02-24 02:30:47.349365,00.00
484,Yx Longum,0,37167900,"Molandsveien 491, 4849 Arendal","58.45991991079383, 8.76688141079383",,,,,,,2022-02-24 01:39:06.921160,00.00
485,Shell Amtmannsvingen,0,48506870,"Bergsmyrveien 41 E, 4900 Tvedestrand","58.56643669281267, 9.212505257749811",,,,,,,2022-02-24 01:39:34.145351,00.00
486,Shell Tvedestrand,0,37169371,"Kalsåsveien 12, 4900 Tvedestrand","58.56635317294618, 9.21242173788332",,,,,,,2022-02-24 01:47:39.523915,00.00
487,Esso Vegårshei,0,55283481,"Heiveien 871, 4985 Vegårshei","58.755369, 8.823429976441632",,,,,,,2022-02-24 02:30:47.349365,00.00
488,Shell Storetveit,0,55287560,"Storetveitvegen 50, 5067 Bergen","60.39452556331206, 5.326139263312057",,,,,,,2022-02-24 01:39:06.921160,00.00
489,Landåstorget Autoservice AS,0,55163800,"Nattlandsveien 78, 5094 Bergen","60.39442321180606, 5.326036911806055",,,,,,,2022-02-24 01:39:34.145351,00.00
490,Shell Varden,0,55120180,"Vardeveien 2, 5141 Fyllingsdalen","60.347334597103405, 5.292966505317344",,,,,,,2022-02-24 01:47:39.523915,00.00
491,Shell Bønes,0,55948800,"Bøjarnesveien 24, 5155 Bønes","52.00205561659856, -9.746686983401442",,,,,,,2022-02-24 02:30:47.349365,00.00
492,Shell Nygård,0,56303190,"Lyderhornsveien 33, 5164 Laksevåg","60.3876083, 5.2925722",,,,,,,2022-02-24 01:39:06.921160,00.00
493,Best Os,0,56304330,"Byvegen 30, 5200 Os","43.38936389046581, -0.6147775095341932",,,,,,,2021-12-28 14:39:00.282380,00.00
494,Esso Os,0,56307175,"Mobergsbakken 2, 5200 Os","43.38929532702133, -0.6148460729786758",,,,,,,2022-02-24 01:39:06.921160,00.00
495,Yx Kalandseid,0,55117480,"Byvegen 920, 5212 Søfteland","60.2379092, 5.4531823",,,,,,,2022-02-24 01:39:34.145351,00.00
496,Shell Laguneparken,0,55226184,"Laguneveien 3, 5239 Rådal","60.292776769697134, 5.321469769697135",,,,,,,2022-02-24 01:47:39.523915,00.00
497,Shell Blomsterdalen,0,55392970,"Ytrebygdsvegen 244, 5258 Blomsterdalen","60.28382282488902, 5.253233124889023",,,,,,,2022-02-24 02:30:47.349365,00.00
498,Shell Lone,0,56315515,"Hardangervegen 697, 5268 Haukeland","60.3612669, 5.4533327",,,,,,,2022-02-24 01:39:06.921160,00.00
499,Esso Ågotnes d,0,56334140,"Bleivassvegen 2, 5347 Ågotnes","60.4047194, 5.0179167",,,,,,,2022-02-24 01:39:34.145351,00.00
500,Yx Kolltveit,0,53412670,"Skjergardsvegen 745, 5360 Kolltveit","60.3552364, 5.0846579",,,,,,,2022-02-24 01:47:39.523915,00.00
501,Yx Norge AS Stord,0,53428780,"Rundehaugen 17, 5412 Stord","59.82521364513521, 5.488563735101662",,,,,,,2022-02-24 02:30:47.349365,00.00
502,Auto service AS,0,53424132,"Innvær, 5420 Rubbestadneset","59.816190387653336, 5.270514287653336",,,,,,,2022-02-24 01:39:06.921160,00.00
503,Best Bømlo,0,90536916,"Hovlandsvegen 151, 5443 Bømlo","59.703684100000004, 5.048475346723132",,,,,,,2022-02-24 01:39:34.145351,00.00
504,Best Sæbøvik,0,52714222,"Sæbøvikvegen 153, 5454 Sæbøvik","59.7944556, 5.7102181",,,,,,,2022-02-24 01:47:39.523915,00.00
505,Shell Karmsundgata,0,40446531,"Karmsundgata 54, 5529 Haugesund","59.414136250875394, 5.268388350875393",,,,,,,2022-02-24 02:30:47.349365,00.00
506,Shell Norheim,0,52779193,"Norheimsmarka 3, 5542 Karmsund","59.376615052692664, 5.300426352692662",,,,,,,2022-02-24 01:39:06.921160,00.00
507,Best Skjoldastraumen,0,52775000,"Skjoldastraumsvegen 1150, 5567 Skjoldastraumen","59.4292325, 5.6221145",,,,,,,2022-02-24 01:39:34.145351,00.00
508,Shell Aksdal,0,52767277,"Tysværvegen 3, 5570 Aksdal","59.4203232, 5.4477232",,,,,,,2022-02-24 01:47:39.523915,00.00
509,Shell Knapphus du,0,53775330,"Haukelivegen 495, E134, 5576 Øvre Vats","61.0689585, 7.4994194",,,,,,,2022-02-24 02:30:47.349365,00.00
510,Ølensvåg Autosenter AS,0,56552122,"Haukelivegen 664 A, 5582 Ølensvåg","59.5976278, 5.7417681",,,,,,,2022-02-24 01:39:06.921160,00.00
511,Yx Nordheimsund,0,53489176,"Steinsdalsvegen 140, 5600 Norheimsund","60.37244624684069, 6.14485604684069",,,,,,,2022-02-24 01:39:06.921160,00.00
512,Best Ølve,0,56589000,"Ølvesvegen 690, 5637 Ølve","59.9938898, 5.784987",,,,,,,2022-02-24 01:39:34.145351,00.00
513,Best Bjørkheim,0,56521400,"Bjørkheim 2, 5652 Årland","59.9892938, 5.08158",,,,,,,2022-02-24 01:47:39.523915,00.00
514,Shell Voss,0,56529180,"Strandavegen 19, 5705 Voss","60.62929754155468, 6.410307741554679",,,,,,,2022-02-24 02:30:47.349365,00.00
515,HMV Servicestasjon AS,0,93410117,"Hardangervegen 23, 5705 Voss","60.629286226829535, 6.410296426829539",,,,,,,2022-02-24 01:39:06.921160,00.00
516,Best Voss,0,56597900,"Istadvegen 22, 5709 Voss","60.629209671118794, 6.410219871118794",,,,,,,2022-02-24 01:39:34.145351,00.00
517,Shell Dale,0,53641304,"Dale Industriområde 14, 5722 Dalekvam","60.5914743, 5.8188548",,,,,,,2022-02-24 01:47:39.523915,00.00
518,Esso Odda,0,53647370,"Tyssedalsvegen 9, 5750 Odda","60.06962273318269, 6.550983490292534",,,,,,,2022-02-24 02:30:47.349365,00.00
519,Shell Røldal,0,53662100,"Haukelivegen 34, 5760 Røldal","59.8594599, 6.6984926",,,,,,,2022-02-24 01:39:06.921160,00.00
520,Best Nå,0,53671270,"Fjordavegen 1945, 5776 Nå","60.500210815265724, 9.10016141526572",,,,,,,2022-02-24 01:39:34.145351,00.00
521,Lofthus Auto AS,0,47970306,"Ullensvangvegen, 5781 Lofthus","60.3257772, 6.6590583",,,,,,,2022-02-24 01:47:39.523915,00.00
522,Yx Eidfjord,0,56177900,"Eidfjordvegen 269, 5783 Eidfjord","60.4860338, 7.0080879",,,,,,,2022-02-24 02:30:47.349365,00.00
523,Esso Frekhaug,0,56167550,"Mjåtveitflaten 1, 5918 Frekhaug","60.515969, 5.2404176",,,,,,,2022-02-24 01:39:06.921160,00.00
524,Yx Mastrevik,0,56367140,"Setenesvegen 1, 5943 Austrheim","60.794052502249556, 4.872262366700199",,,,,,,2022-02-24 01:39:34.145351,00.00
525,Yx Hosteland,0,97147091,"Fensfjordvegen 600, 5986 Hosteland","60.8354247, 5.259239",,,,,,,2022-02-24 01:47:39.523915,00.00
526,Shell Ostereidet,0,70155651,"Eidavegen 532, E39, 5993 Ostereidet","60.6260325, 5.4747466",,,,,,,2022-02-24 02:30:47.349365,00.00
527,Shell Lerstad,0,40448096,"Lerstadvegen 308, 6014 Ålesund","62.47154671385035, 6.155584613850346",,,,,,,2022-02-24 01:39:06.921160,00.00
528,Shell Vegsund,0,70183344,"Blindheimsbreivika 160, 6020 Ålesund","62.47147991918651, 6.155517819186504",,,,,,,2022-02-24 01:39:06.921160,00.00
529,Vigra Servicenter AS,0,70019940,"Nørestranda 43, 6040 Vigra","62.56018535, 6.113415709021158",,,,,,,2022-02-24 01:39:34.145351,00.00
530,Shell Ulsteinvik,0,70084490,"Sjøgata 81, 6065 Ulsteinvik","62.34482006967335, 5.8398195245964875",,,,,,,2022-02-24 01:47:39.523915,00.00
531,Yx Fosnavåg,0,70066506,"Myklebustvegen 50 A, 6092 Fosnavåg","62.342253, 5.6333501",,,,,,,2022-02-24 02:30:47.349365,00.00
532,Shell Ørsta,0,91356519,"Anders Hovden-gata 1, 6153 Ørsta","62.24719676021437, 6.286079768974923",,,,,,,2022-02-24 01:39:06.921160,00.00
533,Smart Hovdebygda,0,70260162,"Torvmyrane 1, 6160 Hovdebygda","62.184206499429564, 6.079170599429567",,,,,,,2022-02-24 01:39:34.145351,00.00
534,Esso Stranda,0,70255999,"Dalevegen 7, 6200 Stranda","62.1678462, 6.930213683468532",,,,,,,2022-02-24 01:47:39.523915,00.00
535,Yx Sykkylven,0,40438424,"Kyrkjevegen 200, 6230 Sykkylven","62.34333535073844, 6.609313945407032",,,,,,,2022-02-24 02:30:47.349365,00.00
536,Shell Ørskog,0,70278079,"Sjøkanten 2, E39, 6240 Ørskog","62.4779593, 6.8183465",,,,,,,2022-02-24 01:39:06.921160,00.00
537,Best Stordal,0,70212442,"Stordalsvegen, 6250 Stordal","62.3826461, 6.9870547",,,,,,,2022-02-24 01:39:34.145351,00.00
538,Yx Søvik,0,71220700,"Hamnsundvegen 242, 6280 Søvik","62.5463377, 6.2804166",,,,,,,2022-02-24 01:47:39.523915,00.00
539,Nils Heggem AS,0,71223431,"Raumavegen, Øran øst, 6300 Åndalsnes","62.568063716301594, 7.689434216301601",,,,,,,2022-02-24 02:30:47.349365,00.00
540,Yx Måndalen,0,71189750,"Sørsidevegen 1769, 6386 Måndalen","62.5326185, 7.4401378",,,,,,,2022-02-24 01:39:06.921160,00.00
541,Shell Vestnes,0,71257211,"Brugata 2, 6390 Vestnes","62.56819005, 7.11060774159323",,,,,,,2022-02-24 01:39:34.145351,00.00
542,Shell Bolsønes,0,71279110,"Verftsgata 1, 6416 Molde","62.739196, 7.193071",,,,,,,2022-02-24 01:47:39.523915,00.00
543,Best Midsund,0,71525100,"Utsidevegen 39, 6475 Midsund","62.6732087, 6.6773523",,,,,,,2022-02-24 02:30:47.349365,00.00
544,Shell Autokrysset,0,71528658,"Kvalvågveien 1, Fv265, 6521 Frei","63.06489578597469, 7.801596292377651",,,,,,,2022-02-24 01:39:06.921160,00.00
545,Best Frei,0,90983555,"Kongsveien 128, 6524 Frei","63.06454375, 7.801244256402956",,,,,,,2022-02-24 01:39:06.921160,00.00
546,Sandvik Stein,0,71512361,"Sandbuktveien 9, 6530 Averøy","63.13734389497553, 7.432530126021625",,,,,,,2022-02-24 01:39:34.145351,00.00
547,Yx Averøy,0,71544900,"Atlanterhavsvegen 3, 6532 Averøy","63.13743652887753, 7.432622759923632",,,,,,,2022-02-24 01:47:39.523915,00.00
548,Best Smøla,0,71689010,"Østsideveien 2333, Sætran, 6570 Smøla","63.4896442, 7.699840804881698",,,,,,,2022-02-24 02:30:47.349365,00.00
549,Best Sunndalsøra,0,71531243,"Nordmørsvegen 33, 6600 Sunndalsøra","62.67531919816332, 8.563382798163321",,,,,,,2022-02-24 01:39:06.921160,00.00
550,Best Tingvoll,0,71666530,"Prestgardsvegen 1, 6630 Tingvoll","62.9541544695453, 8.22037717747646",,,,,,,2022-02-24 01:39:34.145351,00.00
551,Best Rindalsskogen,0,57793611,"Elvahusvegen 6, 6658 Rindalsskogen","63.0985777, 9.324028",,,,,,,2022-02-24 01:47:39.523915,00.00
552,Best Svelgen,0,95293001,"Gunnar Schjelderups veg 111, 6723 Svelgen","49.72399081972469, 5.620801888271634",,,,,,,2022-02-24 02:30:47.349365,00.00
553,LPG Førde,0,57865539,"Storehagen 7, 6800 Førde","61.45229124808215, 5.857423248082145",,,,,,,2022-02-24 01:39:06.921160,00.00
554,Best Sandane,0,57867346,"Kleivedammen 11, 6823 Sandane","8.40706983537661, 17.597886535376613",,,,,,,2022-02-24 01:39:34.145351,00.00
555,Best Byrkjelo,0,48845050,"Breimsvegen 1803, E 39, 6826 Byrkjelo","45.9030600275, 8.971695154998747",,,,,,,2022-02-24 01:47:39.523915,00.00
556,Best Jølstraholmen,0,90026361,"Jølstravegen 731, 6847 Vassenden","61.4929519, 6.1122326",,,,,,,2022-02-24 02:30:47.349365,00.00
557,Shell Kaupanger,0,57679971,"Mannhellervegen, 6854 Kaupanger","61.1844929, 7.2404108",,,,,,,2022-02-24 01:39:06.921160,00.00
558,Shell Sogndal,0,57661004,"Stedjevegen 43, 6856 Sogndal","61.329791, 6.720364762111766",,,,,,,2022-02-24 01:39:34.145351,00.00
559,Best Årdalstangen,0,57789292,"Tangevegen 20, 6885 Årdalstangen","61.2370689, 7.7030641",,,,,,,2022-02-24 01:47:39.523915,00.00
560,Best Sørbøvåg,0,73944560,"Åfjordvegen 894, 6958 Sørbøvåg","61.2266607, 5.1733446",,,,,,,2022-02-24 02:30:47.349365,00.00
561,Shell Bilbyn,0,73984506,"Bratsbergvegen 17, 7037 Trondheim","63.43084299076032, 10.39547009076032",,,,,,,2022-02-24 01:39:06.921160,00.00
562,Shell Moholt,0,73904710,"Vegamot 4 A, 7049 Trondheim","63.43077837915586, 10.395405479155865",,,,,,,2022-02-24 01:39:06.921160,00.00
563,Best Jakobsli,0,73956650,"Jakobslivegen 2, 7058 Jakobsli","63.415193, 10.4920706",,,,,,,2022-02-24 01:39:34.145351,00.00
564,Best Bosberg,0,72886800,"Bynesveien 987, Rye Byneset, 7070 Bosberg","63.41656341325312, 10.143884570209005",,,,,,,2022-02-24 01:47:39.523915,00.00
565,Shell Tiller,0,90290288,"Østre Rosten 10, 7075 Tiller","63.35598987268953, 10.379406072689527",,,,,,,2022-02-24 02:30:47.349365,00.00
566,Shell Klett,0,32759080,"Heimdalsvegen 222, 7083 Leinstrand","63.349832, 10.2585711",,,,,,,2022-02-24 01:39:06.921160,00.00
567,DRIV Brekstad,0,32759080,"Industrigata 21, 7130 Brekstad","63.6871173647934, 9.666619064793407",,,,,,,2022-02-24 01:39:34.145351,00.00
568,DRIV Opphaug,0,72528900,"Fru Ingers vei 473, 7140 Opphaug","46.19441934999999, 18.71335065550627",,,,,,,2022-02-24 01:47:39.523915,00.00
569,Best Bjugn,0,32759080,"Strandveien 2, 7160 Bjugn","63.7648387, 9.8085579",,,,,,,2022-02-24 02:30:47.349365,00.00
570,DRIV Lysøysund,0,41675159,"Roelbakken 1, 7168 Lysøysundet","63.8848017, 9.8686337",,,,,,,2022-02-24 01:39:06.921160,00.00
571,Best Vaslag,0,72447779,"Snillfjordsveien 3844, 7255 Sundlandet","63.4950432, 9.1837455",,,,,,,2022-02-24 01:39:34.145351,00.00
572,Yx Frøya,0,72448860,"Nordfrøyveien 234, 7260 Sistranda","63.7306194, 8.8301587",,,,,,,2022-02-24 01:47:39.523915,00.00
573,Best Frøya,0,72480411,"Nabeitveien 1, 7263 Hamarvik","63.6975379, 8.8109102",,,,,,,2022-02-24 02:30:47.349365,00.00
574,Shell Bårdshaug,0,72485357,"Løypstrengen 4, E39, 7300 Orkanger","63.30539679963927, 9.850106599639265",,,,,,,2022-02-24 01:39:06.921160,00.00
575,Best Fannrem,0,72489481,"Orkdalsveien 630, 7320 Fannrem","63.266052, 9.813927",,,,,,,2022-02-24 01:39:34.145351,00.00
576,Best Vormstad,0,72498650,7327 Svorkmo,"63.17088612889096, 9.736852028890963",,,,,,,2022-02-24 01:47:39.523915,00.00
577,Best Jerpstad,0,98294963,"Stensveien 1, 7335 Jerpstad","62.9788039, 9.7455834",,,,,,,2022-02-24 02:30:47.349365,00.00
578,Yx Oppdal,0,32759080,"Trondheimsvegen 43, 7340 Oppdal","62.535511633087566, 9.623637303097544",,,,,,,2022-02-24 01:39:06.921160,00.00
579,DRIV Oppdal,0,72421681,"Nordre Industrivegen 6, 7340 Oppdal","62.53549455122454, 9.623620221234512",,,,,,,2022-02-24 01:39:06.921160,00.00
580,Shell Oppdal,0,72400640,"Inge Krokanns veg 19, 7340 Oppdal","62.6127049409978, 9.643574418575852",,,,,,,2022-02-24 01:39:34.145351,00.00
581,Best Oppdalsporten,0,72863200,"Trondheimsvegen 1220, Fagerhaug, 7340 Oppdal","62.535178450000004, 9.62330412000998",,,,,,,2022-02-24 01:47:39.523915,00.00
582,Best Børsa,0,32759080,"Gammelvegen 4, Rossvolltoppen, 7353 Børsa","46.5012202, 16.7834908",,,,,,,2022-02-24 02:30:47.349365,00.00
583,DRIV Haltdalen,0,72435110,"Heksemsvegen 77, Heksem, Ved Coop Haltdalen, 7383 Haltdalen","62.92489574159095, 11.154622163270899",,,,,,,2022-02-24 01:39:06.921160,00.00
584,Best Bjørgen,0,72427337,"Fordalsveien, 7387 Singsås","62.95622, 10.7293363",,,,,,,2022-02-24 01:39:34.145351,00.00
585,Esso Berkåk,0,46547299,"Orkdalsveien 3, 7391 Rennebu","62.76639023321002, 9.887447567395002",,,,,,,2022-02-24 01:47:39.523915,00.00
586,Shell Stjørdal,0,74800610,"Hotellgata 10, 7500 Stjørdal","63.46999642994767, 10.923234029947672",,,,,,,2022-02-24 02:30:47.349365,00.00
587,CircleK Stjørdal,0,46548659,"Værnesgata 7 B, 7503 Stjørdal","63.47008079743266, 10.923318397432656",,,,,,,2022-02-24 01:39:06.921160,00.00
588,Best Meråker,0,73815311,"Mellomriksveien 4855, 7530 Meråker","63.396928349999996, 11.812497651996985",,,,,,,2022-02-24 01:39:34.145351,00.00
589,Best Tydal,0,90474800,"Tydalsvegen 80, 7590 Tydal","62.97014335, 11.821146128153032",,,,,,,2022-02-24 01:47:39.523915,00.00
590,Yx Gråmyra,0,32759080,"Gråmyrvegen 2, 7608 Levanger","63.74660276141893, 11.300262361418929",,,,,,,2022-02-24 02:30:47.349365,00.00
591,DRIV Ekne,0,95005764,"Eknesvegen 96, 7624 Ekne","63.6962518, 11.0426965",,,,,,,2022-02-24 01:39:06.921160,00.00
592,Shell Inderøy,0,95008353,"Sundfærvegen 1, 7670 Inderøy","63.84991645, 11.09264475092375",,,,,,,2022-02-24 01:39:34.145351,00.00
593,Shell Figga,0,74148660,"Gamle Figga 1, 7712 Steinkjer","64.01886268748734, 11.494084287487352",,,,,,,2022-02-24 01:47:39.523915,00.00
594,Best Beitstad,0,90273537,"Namsosvegen, Vellamelen, 7730 Beitstad","64.0857412, 11.361606",,,,,,,2022-02-24 02:30:47.349365,00.00
595,Shell Østre,0,74312990,"Søren R Thornæs veg 2, 7800 Namsos","34.6968317, 135.4950097",,,,,,,2022-02-24 01:39:06.921160,00.00
596,Esso Grong,0,74335740,"Medjåvegen 79, 7870 Grong","64.53095195525059, 12.637393073669328",,,,,,,2022-02-24 01:39:06.921160,00.00
597,Visit Børgefjell,0,74392050,"Buenget 11, 7898 Limingen","64.78826705, 13.58812034689518",,,,,,,2022-02-24 01:39:34.145351,00.00
598,Best Rørvik,0,74396124,"Strandgata 25 A, Shellbrygga, 7900 Rørvik","46.048822220838225, 17.796130439991355",,,,,,,2022-02-24 01:47:39.523915,00.00
599,Best Foldereid,0,75550000,"Foldereidvegen 4, 7985 Foldereid","64.9628777, 12.176081",,,,,,,2022-02-24 02:30:47.349365,00.00
600,Rønvik veiservice AS,0,75515600,"Teglverkveien 1, 8006 Bodø","67.284124035162, 14.382759835161988",,,,,,,2022-02-24 01:39:06.921160,00.00
601,Shell Mørkved,0,75550000,"Innstrandveien 1, 8020 Bodø","67.28426273471771, 14.382898534717715",,,,,,,2022-02-24 01:39:34.145351,00.00
602,Esso Tverlandet,0,75587120,"Bodøveien 1596, Løding, 8050 Tverlandet","67.37622175, 15.120238650176198",,,,,,,2022-02-24 01:47:39.523915,00.00
603,Best Saltstraumen,0,75538200,"Straum, 8056 Saltstraumen","67.2321407, 14.6100504",,,,,,,2022-02-24 02:30:47.349365,00.00
604,Yx Misvær,0,75568701,"Kulturveien 3589, 8100 Misvær","67.1193164, 14.9956549",,,,,,,2022-02-24 01:39:06.921160,00.00
605,Best Tollå,0,75721080,"Vestre Beiarveien 1036, 8114 Tollå","41.9751394, 8.9728308",,,,,,,2022-02-24 01:39:34.145351,00.00
606,Best Ørnes,0,75751701,"Chr. Tidemanns vei 22, 8150 Ørnes","66.86886975629432, 13.713094452809026",,,,,,,2022-02-24 01:47:39.523915,00.00
607,Best Engavågen,0,75643308,"Chr. Tidemanns vei 2, 8150 Ørnes","66.8685097775696, 13.71273447408431",,,,,,,2022-02-24 02:30:47.349365,00.00
608,Shell Fauske,0,75772561,"Storgaten 51, 8200 Fauske","67.2595682818852, 15.39364575003448",,,,,,,2022-02-24 01:39:06.921160,00.00
609,Shell Innhavet,0,75773561,"Hamarøyveien 3068, 8260 Innhavet","67.9633714, 15.9307988",,,,,,,2022-02-24 01:39:34.145351,00.00
610,Best Drag,0,75777145,"Drag, 8270 Drag","47.0353868435578, 23.399371543557802",,,,,,,2022-02-24 01:47:39.523915,00.00
611,Shell Bogøy,0,76075062,"Bogveien 7, 8288 Bogøy","67.8994692, 15.1892191",,,,,,,2022-02-24 02:30:47.349365,00.00
612,Shell Svolvær,0,76067240,"Caroline Harveys vei 8, 8300 Svolvær","43.10419075, -75.33920545189844",,,,,,,2022-02-24 01:39:06.921160,00.00
613,Esso Osan,0,76128000,"Kongsvatnveien 1, 8300 Svolvær","68.2347719, 14.564736",,,,,,,2022-02-24 01:39:34.145351,00.00
614,Yngve Steiro AS,0,76127488,"Havnegata 30, 8400 Sortland","68.76747468708656, 15.368096505647193",,,,,,,2022-02-24 01:47:39.523915,00.00
615,Best Sigefjord,0,76141025,"Sigerfjordveien 2, 8406 Sortland","68.767386152809, 15.368007971369629",,,,,,,2022-02-24 02:30:47.349365,00.00
616,Shell Andenes,0,46286222,"Industriveien 3, 8480 Andenes","69.3122989, 16.105708526573515",,,,,,,2022-02-24 01:39:06.921160,00.00
617,Shell Narvik,0,97031885,"Dronningens gate 79, 8514 Narvik","68.29008667750844, 17.086741538830246",,,,,,,2022-02-24 01:39:06.921160,00.00
618,Shell Ankenes,0,76952990,"Ankenesveien 5, 8520 Ankenes","68.41674771146575, 17.390534611465753",,,,,,,2022-02-24 01:39:34.145351,00.00
619,Shell Bjerkvik,0,76928466,"Nordmoveien 17, 8530 Bjerkvik","68.54984943407027, 17.558730034070276",,,,,,,2022-02-24 01:47:39.523915,00.00
620,Shell Ballangen,0,75144444,"Bjørkåsveien 2, 8540 Ballangen","68.3428581, 16.8313327",,,,,,,2022-02-24 02:30:47.349365,00.00
621,Ytteren Autosenter,0,75135840,"Gammelveien 9, 8614 Mo i Rana","66.34104337631125, 14.142456981696933",,,,,,,2022-02-24 01:39:06.921160,00.00
622,Yx Andfiskå,0,75198180,"Nygata 100, 8618 Mo i Rana","66.28727496319244, 14.05376992153258",,,,,,,2022-02-24 01:39:34.145351,00.00
623,Circle K Mo i Rana,0,75160177,"Stigerplatåveien 2, 8626 Mo i Rana","66.30777947067835, 14.150789628788464",,,,,,,2022-02-24 01:47:39.523915,00.00
624,Yx Storforshei,0,75193116,"Malmgata 1, 8630 Storforshei","66.4043138, 14.5232582",,,,,,,2022-02-24 02:30:47.349365,00.00
625,Best Hemnes,0,75190733,"Sjøgata 2, 8640 Hemnesberget","66.2253257, 13.6117391",,,,,,,2022-02-24 01:39:06.921160,00.00
626,Yx Bjerka,0,75172871,"Nergårdsgata 26, 8643 Bjerka","66.1508645, 13.8357777",,,,,,,2022-02-24 01:39:34.145351,00.00
627,Mosjøen servicesenter AS,0,90402948,"Leira 2, 8665 Mosjøen","65.8378955197662, 13.194560419766203",,,,,,,2022-02-24 01:47:39.523915,00.00
628,Shell Halsøy,0,91852644,"Naustgata 1, 8665 Mosjøen","65.83793160185886, 13.194596501858852",,,,,,,2022-02-24 02:30:47.349365,00.00
629,Best Hattfjelldal,0,75056007,"Hattfjelldalsvollen, 8692 Hattfjelldal","65.49995580000001, 14.170608243183656",,,,,,,2022-02-24 01:39:06.921160,00.00
630,Best Nesna,0,90476275,"Havnevegen 4, 8700 Nesna","66.22368035, 12.9657859624104",,,,,,,2022-02-24 01:39:34.145351,00.00
631,Shell Sandnessjøen,0,75035001,"Øyvind Lambes vei 2, 8803 Sandnessjøen","66.01004975906288, 12.63258660900124",,,,,,,2022-02-24 01:47:39.523915,00.00
632,Circle K Automat Brønnøysund,0,75020600,"Valveien 48, 8900 Brønnøysund","65.480026, 12.218152",,,,,,,2022-02-24 02:30:47.349365,00.00
633,Shell Ishavsporten,0,93606800,"Hungervegen 7 A, E8, 9020 Tromsdalen","46.62464339971632, 14.30857630765956",,,,,,,2022-02-24 01:39:06.921160,00.00
634,Retail nord AS,0,77728174,"Tromsøysundvegen 16, 9020 Tromsdalen","69.64556668914855, 18.994282889148547",,,,,,,2022-02-24 01:39:06.921160,00.00
635,Shell Balsfjord,0,77726330,"Sentrumsveien 2, 9040 Nordkjosbotn","69.21894882810459, 19.558340828104594",,,,,,,2022-02-24 01:39:34.145351,00.00
636,Tømmerelv Vegservice AS,0,90664621,"Sørkjosveien 416, 9050 Storsteinnes","69.6127948, 19.8801856",,,,,,,2022-02-24 01:47:39.523915,00.00
637,Best Lyngseidet,0,77715205,"Parkveien 9, 9060 Lyngseidet","69.5761478, 20.2157335",,,,,,,2022-02-24 02:30:47.349365,00.00
638,Steinnes Servicestasjon AS,0,77769910,"Nordlysveien 2805, 9143 Skibotn","69.3912822, 20.2678866",,,,,,,2022-02-24 01:39:06.921160,00.00
