index,station,price,number,address,coordinates,card_link,station_link,city,municipality,county,cords,date,diesel
70,Best Tistedal,0,61328613,"Aremarkveien 10, Tangen, 1792 Tistedal","59.126296, 11.4447523",,,Leirvik,Stord,Vestland,"59.7806716, 5.5002535",2022-02-24 01:47:39.523915,00.00
71,Shell Lygnasæter,0,32762071,"Rv4 Lygnasæter Hotel, Lygna, 2770 Jaren","60.457218152663444, 10.65040203717298",,,Leknes,Vestvågøy,Nordland,"68.1477901976004, 13.608899987625298",2022-02-24 02:30:47.349365,00.00
72,Circle K,0,35023360,"Stasjonsvegen 2, 3623 Lampeland","59.8350302, 9.5803482",,,Levanger,Levanger,Trøndelag,"63.696451800000006, 11.223880440465752",2022-02-24 01:39:06.921160,00.00
73,Shell Sauland,0,38264972,"Saulandsvegen 428, E134, 3692 Sauland","59.6152075, 8.9461525",,,Lillesand,Lillesand,Agder,"58.1161123, 8.440325744249662",2022-02-24 01:39:34.145351,00.00
74,Best Malmø,0,37085299,"Søren Jaabæks vei 18, 4515 Mandal","58.026506664462325, 7.4654566266355795",,,Lillestrøm,Skedsmo,Viken,"59.9534148, 11.0451526",2022-02-24 01:47:39.523915,00.00
75,Shell Joker Tromøy,0,45863084,"Skilsøveien 123, 4818 Færvik","58.4550393, 8.816384",,,Lyngdal,Lyngdal,Agder,"58.140218747888824, 7.0693674837177625",2022-02-24 02:30:47.349365,00.00
76,Yx Froland,0,53754462,"Langedal 2, 4820 Froland","58.587458429058756, 8.60061181419645",,,Mo i Rana,Rana,Nordland,"48.1113387, -1.6800198",2022-02-24 01:39:06.921160,00.00
77,Best Etne,0,48016300,"Krossnesvegen 39 D, 5545 Vormedal","59.3560412, 5.3208409",,,Mosjøen,Vefsn,Nordland,"65.8375307, 13.1892439",2022-02-24 01:39:34.145351,00.00
78,Shell Norheimsund,0,56350020,"Gamle Dalavegen 76, 5600 Norheimsund","60.372284586779635, 6.144694386779637",,,Mysen,Eidsberg,Viken,"59.5537833, 11.3240316",2022-02-24 01:47:39.523915,00.00
79,Best Alversund,0,70257706,"Alverflaten 274, 5911 Alversund","60.5707647, 5.2318988",,,Måløy,Vågsøy,Vestland,"40.6744348, -94.4121811",2022-02-24 02:30:47.349365,00.00
